ID,Name,Part Number,Category,Short Description,Long Description,Weight,Handling Capacity,Regulations,Sump Capacity,PLength,PWidth,PHeight,"Dimension Type (Drum, Pool, etc)",Product Option 1(Item_ID),Product Option 2(Item_ID),Product Option 3(Item_ID)
1390-YE,95 Gallon Spill Kit,1390-YE,Spill Kits,95 Gallon Spill Kit Universal,"All of ENPAC’s traditional products come together to make great Spill Kits!

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications.
Absorbs up to 62 gallons/235 liters

Spill Kit includes:
95 Gal. Salvage Drum,
100 Pads,
10 - Large Socks, 16 - Small Socks,
1 pack Wipers,
3# STARDUST,
5 Disposal Bags and Ties,
2 pr Nitrile Gloves,
2 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,650/295,"EPA, SPCC, NPDES",,,,,Standard,FD324-0901-00EP,13-LRK,6000-YE
1391-YE,95 Gallon Spill Kit,1391-YE,Spill Kits,95 Gallon Spill Kit Aggressive,"All of ENPAC’s traditional products come together to make great Spill Kits!

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications.
Absorbs up to 62 gallons/235 liters

Spill Kit includes:
95 Gal. Salvage Drum,
100 Pads,
10 - Large Socks, 16 - Small Socks,
1 pack Wipers,
3# STARDUST,
5 Disposal Bags and Ties,
2 pr Nitrile Gloves,
2 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,650/295,"EPA, SPCC, NPDES",,,,,Standard,FD324-0901-00EP,13-LRK,5205-YE
1392-YE,95 Gallon Spill Kit,1392-YE,Spill Kits,95 Gallon Spill Kit Oil Only,"All of ENPAC’s traditional products come together to make great Spill Kits!

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications.
Absorbs up to 62 gallons/235 liters

Spill Kit includes:
95 Gal. Salvage Drum,
100 Pads,
10 - Large Socks, 16 - Small Socks,
1 pack Wipers,
3# STARDUST,
5 Disposal Bags and Ties,
2 pr Nitrile Gloves,
2 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,650/295,"EPA, SPCC, NPDES",,,,,Standard,FD324-0901-00EP,13-LRK,1299-YE
1393-YE,Envirosalv™ Locking 95 Gallon Spill Kit,1393-YE,Spill Kits,Envirosalv™ Locking 95 Gallon Spill Kit Universal,"Absorbs up to 62 gallons/235 liters

Spill Kit includes: 
ENVIROSALV 95 Gal. Locking Overpack Salvage Drum, 
Lock Down Security Kit, 
100 Pads, 
10 - Large Socks, 
16 - Small Socks, 
1 pack Wipers, 
1 Gallon ENSORB, 
5 Disposal Bags and Ties, 
2 pr Nitrile Gloves, 
2 pr Goggles, 
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,650/295,"EPA, SPCC, NPDES",,,,,Standard,FD324-0901-00EP,13-LRK,5116-YE
1394-YE,Envirosalv™ Locking 95 Gallon Spill Kit,1394-YE,Spill Kits,Envirosalv™ Locking 95 Gallon Spill Kit Aggressive,"Absorbs up to 62 gallons/235 liters

Spill Kit includes: 
ENVIROSALV 95 Gal. Locking Overpack Salvage Drum, 
Lock Down Security Kit, 
100 Pads, 
10 - Large Socks, 
16 - Small Socks, 
1 pack Wipers, 
1 Gallon ENSORB, 
5 Disposal Bags and Ties, 
2 pr Nitrile Gloves, 
2 pr Goggles, 
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,650/295,"EPA, SPCC, NPDES",,,,,Standard,FD324-0901-00EP,13-LRK,5765-YE
1395-YE,Envirosalv™ Locking 95 Gallon Spill Kit,1395-YE,Spill Kits,Envirosalv™ Locking 95 Gallon Spill Kit Oil Only,"Absorbs up to 62 gallons/235 liters

Spill Kit includes: 
ENVIROSALV 95 Gal. Locking Overpack Salvage Drum, 
Lock Down Security Kit, 
100 Pads, 
10 - Large Socks, 
16 - Small Socks, 
1 pack Wipers, 
1 Gallon ENSORB, 
5 Disposal Bags and Ties, 
2 pr Nitrile Gloves, 
2 pr Goggles, 
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,650/295,"EPA, SPCC, NPDES",,,,,Standard,FD324-0901-00EP,13-LRK,5700-YE
1397-RF,Replacement/ Refill Kits,1397-RF,Spill Kits,95 Gal Replacement Kit (Wheeled),"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1397-YE,13-LRK,6000-YE
1397-YE,95 Gallon Wheeled Spill Kit,1397-YE,Spill Kits,95 Gallon Wheeled Spill Kit Universal,"Did you know that the typical workplace lost time accident costs the employer an average of $30,000 per incident?

ENPAC’s complete line of portable containment solves your need for immediate, reliable and portable spill containment to avoid those losses. But you can never anticipate spills. For that reason, you need a Spill Kit ready and mobile for the clean-up job ahead. 


This first and only one-piece Wheeled Overpack Spill Kit is available in: Oil Only, Universal and Aggressive Liquids. It also contains our 95-gal UN rated salvage drum, handling the 55-gal drum (UN/1H2/X113/S), holding various products to absorb up to 62 gallons of spilled substances!

Absorbs up to 62 gallons/235 liters",,250/113,"EPA, SPCC, NPDES",,,,,Standard,1397-RF,13-LRK,FD324-0901-00EP
1398-RF,Replacement/ Refill Kits,1398-RF,Spill Kits,95 Gal Replacement Kit (Wheeled),"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1398-YE,13-LRK,5205-YE
1398-YE,95 Gallon Wheeled Spill Kit,1398-YE,Spill Kits,95 Gallon Wheeled Spill Kit Aggressive,"Did you know that the typical workplace lost time accident costs the employer an average of $30,000 per incident?

ENPAC’s complete line of portable containment solves your need for immediate, reliable and portable spill containment to avoid those losses. But you can never anticipate spills. For that reason, you need a Spill Kit ready and mobile for the clean-up job ahead. 


This first and only one-piece Wheeled Overpack Spill Kit is available in: Oil Only, Universal and Aggressive Liquids. It also contains our 95-gal UN rated salvage drum, handling the 55-gal drum (UN/1H2/X113/S), holding various products to absorb up to 62 gallons of spilled substances!

Absorbs up to 62 gallons/235 liters",,250/113,"EPA, SPCC, NPDES",,,,,Standard,1398-RF,13-LRK,FD324-0901-00EP
1399-RF,Replacement/ Refill Kits,1399-RF,Spill Kits,95 Gal Replacement Kit (Wheeled),"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1399-YE,13-LRK,1299-YE
1399-YE,95 Gallon Wheeled Spill Kit,1399-YE,Spill Kits,95 Gallon Wheeled Spill Kit Oil Only,"Did you know that the typical workplace lost time accident costs the employer an average of $30,000 per incident?

ENPAC’s complete line of portable containment solves your need for immediate, reliable and portable spill containment to avoid those losses. But you can never anticipate spills. For that reason, you need a Spill Kit ready and mobile for the clean-up job ahead. 


This first and only one-piece Wheeled Overpack Spill Kit is available in: Oil Only, Universal and Aggressive Liquids. It also contains our 95-gal UN rated salvage drum, handling the 55-gal drum (UN/1H2/X113/S), holding various products to absorb up to 62 gallons of spilled substances!

Absorbs up to 62 gallons/235 liters",,250/113,"EPA, SPCC, NPDES",,,,,Standard,1399-RF,13-LRK,FD324-0901-00EP
13-KTSSO,Forklift Vehicle Spill Kit™,13-KTSSO,Spill Kits,Forklift Vehicle Spill Kit™ Oil Only,"The spill kits contents arecontained in a extremelydurable water resistant safetyyellow Herculite bag. Easilyhangs from any piece of heavy equipment such as a forklift.

Up to 5gal/18.9L Cap
Part #:            13-KTSSU-Universal
                       13-KTSSO-Oil Only
Regulations: EPA, SPCC and NPDES
Kit includes: 12 Pads, 2 Socks,
1 Disposal Bag, 1 Zip Tie, 1 Pr. Nitrile
& Gloves, 1 Instruction Sheet",,,"EPA, SPCC, NPDES",,,,,Standard,13-KTSSU,13-TWSK-U,13-5PKO
13-KTSSU,Forklift Vehicle Spill Kit™,13-KTSSU,Spill Kits,Forklift Vehicle Spill Kit™ Universal,"The spill kits contents arecontained in a extremelydurable water resistant safetyyellow Herculite bag. Easilyhangs from any piece of heavy equipment such as a forklift.

Up to 5gal/18.9L Cap
Part #:            13-KTSSU-Universal
                       13-KTSSO-Oil Only
Regulations: EPA, SPCC and NPDES
Kit includes: 12 Pads, 2 Socks,
1 Disposal Bag, 1 Zip Tie, 1 Pr. Nitrile
& Gloves, 1 Instruction Sheet",,,"EPA, SPCC, NPDES",,,,,Standard,13-KTSSO,13-TWSK-O,13-5PKU
13-LRK,Enpac® Leak Repair Kit,13-LRK,Spill Kits,Enpac® Leak Repair Kit,"The ENPAC®Leak Repair Kit can be usedto plug leaking gasoline, diesel or biofueltanks to minimize the amount of fuel lostand the clean up required. Prevent waterdamage to freight by immediately plugginga damaged trailer that is allowing rainwater to get in. Plug either from theinside or the outside to keep the trailer in operation. Kit includes: Plug pattie,
Aluminum butyl tape, Super
absorbent pad and gloves",,,,,,,,N/A,1380-YE,1362-YE,1350-YE
13-SP2O,Econo™ Spill Pak,13-SP2O,Spill Kits,Econo™ Spill Pak Oil Only,"Even the smallest package of ENPAC's finest products can go a long way. Perfect for stashing behind the seat of a truck or placing in a stuff box, the Econo™ Spill Pak couldn't be more convenient. This kit can be refilled but it’s so economical, we feel it’s disposable.

Absorbs up to 5 gallons/19 liters

Each Kit Contains:
1- Plastic “Budget Bag”
12- Pads
3- Socks
1- Pair Nitrile Gloves
1- Disposal Bag, Tie, & Instructions",,,"EPA, SPCC, NPDES",,,,,Standard,13-SP2U,13-LRK,13-5PKO
13-SP2U,Econo™ Spill Pak,13-SP2U,Spill Kits,Econo™ Spill Pak Universal,"Even the smallest package of ENPAC's finest products can go a long way. Perfect for stashing behind the seat of a truck or placing in a stuff box, the Econo™ Spill Pak couldn't be more convenient. This kit can be refilled but it’s so economical, we feel it’s disposable.

Absorbs up to 5 gallons/19 liters

Each Kit Contains:
1- Plastic “Budget Bag”
12- Pads
3- Socks
1- Pair Nitrile Gloves
1- Disposal Bag, Tie, & Instructions",,,"EPA, SPCC, NPDES",,,,,Standard,13-SP2O,13-LRK,13-5PKU
13-TWSK-O,Deluxe Truck/Wall Mount Spill Kit™,13-TWSK-O,Spill Kits,Deluxe Truck/Wall Mount Spill Kit™ Oil-Only,"The Deluxe - Truck / Wall Mount Spill Kit can be used as a truck-mounted carrier under semi-trucks/trailers or as a spill response unit in almost any location when mounted to the wall. Mounts easily to trailer undercarriage or walls utilizing molded/slotted holes for multiple mounting options. Contents are safely contained in the lockable ENPAC Poly-Edge which has a durable weather and water resistant gasket seal that keeps all stored items secure and dry. This Deluxe Kit also includes an ENPAC 100 gallon Prowler Pop-Up Pool for immediate spill containment to the widest range of chemicals and a complete Leak Repair Kit. 

The Leak Repair Kit can be used to:

Plug leaking gasoline
Stop leaking diesel or biofuel tanks
Prevent rain damage in freight trailers",,,,,,,,Standard,13-TWSK-U,13-5PKO,13-KTSSO
13-TWSK-U,Deluxe Truck/Wall Mount Spill Kit™,13-TWSK-U,Spill Kits,Deluxe Truck/Wall Mount Spill Kit™ Universal,"The Deluxe - Truck / Wall Mount Spill Kit can be used as a truck-mounted carrier under semi-trucks/trailers or as a spill response unit in almost any location when mounted to the wall. Mounts easily to trailer undercarriage or walls utilizing molded/slotted holes for multiple mounting options. Contents are safely contained in the lockable ENPAC Poly-Edge which has a durable weather and water resistant gasket seal that keeps all stored items secure and dry. This Deluxe Kit also includes an ENPAC 100 gallon Prowler Pop-Up Pool for immediate spill containment to the widest range of chemicals and a complete Leak Repair Kit. 

The Leak Repair Kit can be used to:

Plug leaking gasoline
Stop leaking diesel or biofuel tanks
Prevent rain damage in freight trailers",,,,,,,,Standard,13-TWSK-O,13-5PKU,13-KTSSU
1505-YE,Large Totes,1505-YE,Storage,Large Totes,"ENPAC Totes are the only stackable,
nestable, forkliftable, water resistant,
mobile totes on the market.
The Large Tote offers a 500 lb. handling capacity.

 FDA Food Grade.

 ENPAC Totes make great Spill Kit containers!

Combo includes:

lid w/handles

4” polyurethane wheels (Part #: 1510) or 

8” solid rubber wheels (Part #: 1511).

Wheel kits available separately:  Part #: 1515 (4""), Part #: 1535 (8"").",51.2/23,500/227,,123/465.6,,,,Cube,1525-YE,1510-YE,1511-YE
1511-YE,"Large Tote With 8"" Wheels",1511-YE,Storage,"Large Tote With 8"" Wheels","ENPAC Totes are the only stackable,
nestable, forkliftable, water resistant,
mobile totes on the market.
The Large Tote offers a 500 lb. handling capacity.

 FDA Food Grade.

 ENPAC Totes make great Spill Kit containers!

Combo includes:

lid w/handles

4” polyurethane wheels (Part #: 1510) or 

8” solid rubber wheels (Part #: 1511).

Wheel kits available separately:  Part #: 1515 (4""), Part #: 1535 (8"").",77/35,500/227,,123/465.6,,,,Cube,1505-YE,1505-YE
1525-YE,Extra Large Totes ,1525-YE,Storage,Extra Large Totes,"ENPAC Totes are the only stackable,
nestable, forkliftable, water resistant,
mobile totes on the market.
The Large Tote offers a 500 lb. handling capacity.

FDA Food Grade.

ENPAC Totes make great Spill Kit containers!

Combo includes:

lid w/handles

4” polyurethane wheels (Part #: 1510) or

8” solid rubber wheels (Part #: 1511)

Wheel kits available separately:  Part #: 1515 (4""), Part #: 1535 (8"")",74.25/33.7,500/227,,233/844,,,,Cube,1505-YE,1530-YE,1531-YE
1531-YE,"Extra Large Tote With 8"" Wheels",1531-YE,Storage,"Extra Large Tote With 8"" Wheels","ENPAC Totes are the only stackable,
nestable, forkliftable, water resistant,
mobile totes on the market.
The Large Tote offers a 500 lb. handling capacity.

FDA Food Grade.

ENPAC Totes make great Spill Kit containers!

Combo includes:

lid w/handles

4” polyurethane wheels (Part #: 1510) or

8” solid rubber wheels (Part #: 1511)

Wheel kits available separately:  Part #: 1515 (4""), Part #: 1535 (8"")",100/45.2,500/227,,233/844,,,,Cube,1525-YE,1530-YE
1601-BK,Poly-Edge™,1601-BK,Cylinder Products,Multi-Functional Storage Unit Offers Transportable Convenience.,"ThePoly-Edge can be used as a truck-mounted carrier spill response unit orwall-mounted unit in such applications as manufacturing facilities,laboratories and hospitals. The lockable, large capacity unit offersversatile storage for tools and absorbents as well as ENPAC’s StingerBerms and Prowler Pools.

Will not rust or corrode.
Slotted footprint makes mounting easy.
Constructed of lightweight 100% polyethylene.
A special weather and water-resistant gasket keeps stored items dry.",14/6,75/34,,,,,,Standard,5920-YE,5901-YE,5700-YE
2038-YE,Poly-Safetypack,2038-YE,Storage,"Safe, Secure Two-Drum Storage.","This tough, indoor or outdoor
performer protects two 55-gallon
drums while containing leaks with
a 135-gallon sump capacity.
Drum access and removal is easy
with our unique gull-wing covers.
Items inside are protected from
the weather with our unique
slide-over lid design. 

Security locks are included to
secure the covers and contents.
100% polyethylene has excellent
resistance to chemicals as well
as weather. Translucent sidewalls
allow for an immediate view of 
liquids so you won’t need  to open 
he lids to see if there has been a leak.
The Poly-Safetypack is easily
handled by forklift or pallet jack
from two sides. Optional drain.",103/46.7,1200/544,"EPA 40 CFR 264.175, SPCC, NPDES, UFC",130/492.1,,,,Cube,2038-YE-D,3200-BK
2077-YE,Poly-Safetypack Plus,2077-YE,Storage,Taller For Secure Pumping Stations.,"Poly-Safetypack Plus provides the same results as the Poly-Safetypack with the key advantage of a 54.25” inside height. This feature allows the lids to be closed with the pumps in place to create a versatile pumping station. Convenience meets functionality with its larger 270 gallon capacity. Optional drain.

",137/62,1200/544,"EPA 40 CFR 264.175, SPCC, NPDES, UFC",264/999.3,,,,Cube,2077-YE-D,3200-BK
3004-YE,Universal Poly-Drum™ Funnel,3004-YE,Funnels,Universal Poly-Drum™ Funnel,"Fits both closed-head and open-head 55-gallon drums, and other containers. Just set it and forget it. Exclusive features include patented scalloped design, high side wall, bung fitting holders and optional cover for added protection and value!
",3/1.4,,"EPA, SPCC, NPDES",,,,,Funnel,3005-YE,3005-YE,3004-YE-SF
3004-YE-SF,Universal Poly-Drum™ Safety Funnel,3004-YE-SF,Funnels,Universal Poly-Drum™ Safety Funnel,"All the same features as the
Universal Poly-Drum Funnel plus
a non-sparking safety bung closure with flame arrestor.
Ideal for flammable liquids.
Optional cover available. ",5/2.3,,"EPA, SPCC, NPDES",,,,,Funnel,3051-YE,3004-YE,3040-Y
3005-YE,Poly-Pail Funnel™,3005-YE,Funnels,Poly-Pail Funnel™,"Mounts to 3.5-, 5-, and 6-gallon tight-head pails. Also fits open-top pails with 12” diameter. ",2/1,,"EPA, SPCC, NPDES",,,,,Funnel,3004-YE,3004-YE-SF,3051-YE
3040-YE,Universal Poly-Drum™ Funnel Cover,3040-YE,Funnels,Universal Poly-Drum™ Funnel Cover,Optional lockable cover (lock not included) for use with Part #: 3004-YE and 3004-YE-SF. A snap to install with all necessary hardware; instructions included. ,3/1.4,,,,,,,Funnel,3004-YE,3051-YE,3065-BK
3051-YE,Poly-Pail Funnel™ Cover,3051-YE,Funnels,Poly-Pail Funnel™ Cover,For use with Part # 3005-YE,2/1,,,,,,,Funnel,3004-YE,3005-YE,3005-YE
3065-BK,Poly-Drum Topper™,3065-BK,Funnels,Poly-Drum Topper™,Our Drum Topper snaps directly onto any 55-gallon open or closed-head drum to keep out debris and protect drum tops.,1.5/ .7,,,,,,,Funnel,3004-YE,3005-YE,3004-YE-SF
3100-BU,Drum Lifter®,3100-BU,Salvage Drum/Overpacks,Drum Lifter®,"Salvage drum loading is one of the trickiest drum handling jobs. This lifter makes it easy! Unique slim design allows unit to be used where clearance is tight. Works great for general drum handling, too. Jaw has only one moving part, making the lifter practically maintenance free.

• Lift open-head or tight-head pails and drums
• Slim design for loading drums into salvage drums
• 1,000 lb. capacity",22/9.9,1000/453.7,,,,,,N/A
3200-BK,Drip Sentinel™ Drum Top Workstation™,3200-BK,Funnels,Pays For Itself With The First Drum Of Liquids Dispensed!,"The Drip Sentinel Drum-Top Workstation from ENPAC helps save liquids that are routinely lost during the dispensing process by catching and redirecting them to the drum fresh and free of debris.

The Drip Sentinel Drum-Top Workstation is easy to install and use. It fits 55-gallon steel tight-head drums, and works with all types of rotary drum pumps.  Made of durable, non-corrosive and chemically resistant polyethylene, the Drip Sentinel Drum-Top Workstation helps to reduce waste removal costs and dangerous slip-and-fall incidents while saving time and money.  The Drip Sentinel Drum-Top Workstation pays for itsel fin one use by saving up to 4 gallons of liquid per drum!

Equipped with a stainless steel mesh strainer, spilled liquids flow back into the drum ready for use.

Drum heads can become a mess when dispensing materials, wasting resources and spreading contaminates through the work area.

Drip Sentinel Drum Top Workstation saves material, returns it fresh to the dispensing drum, and keeps the drum head clean, helping to eliminate the spread of the mess.",3/1.4,,,,,,,Funnels,3004-YE,1347-YE,ENP 25 UDT
4000-YE,Hazard Hut,4000-YE,Storage,The Solution To Your Indoor Storage Problem Is Outdoor Containment.,"When floor space is at a premium indoors, take your hazardous materials outdoors with the Hazard Hut. One-piece molded 100% polyethylene construction means there are no joints or seams to leak. Molded-in side vents reduce fumes, while UV protection makes it a durable performer outside. Removable grates make it easy to clean and the 72-gallon sump capacity ensures leak and spill containment.

Security is no problem. The double doors provide easy access for up to four 55-gallon drums while their double-wall construction, heavy-duty hinges and lock latches keep contents secure. Four-way forkliftable design makes the Hazard Hut easy to handle.

Door Opening 41.5"" W x 48.5"" H

Massive sump has removable structural foam grates for easy cleaning.",269/121.8,4000/1814,"EPA 40 CFR 264.175, SPCC, NPDES, UFC",72/275.5,,,,Cube,4001-BK
4001-BK,Hazard Hut Poly-Ramp,4001-BK,Storage,Hazard Hut Poly-Ramp,"Loading the Hazard Hut is easy with our Hazard Hut Poly-Ramp. With 5” polyolefin wheels, just roll up the ramp and roll in the barrels!

Hazard Hut Poly-Ramp features:

• Integrally-molded handles
• 10˚ slope allows for easy loading
• Improved ribbed, non-skid surface
• 100% polyethylene",154/69.9,1000/453.7,,,,,,Standard,4000-YE
4010-YE,Job Hut,4010-YE,Storage,Outdoor Storage Has Never Been So Practical...Or So Affordable!,"If easy access, cost efficiency and a large storage area are what you need, Job Hut is the answer.  An extra large storage area lets you store up to eight 55-gallon drums right on their pallets! Its low profile design allows for easy access. And it’s forkliftable from all sides for effortless handling. Tough polyethylene construction means it won’t rust or corrode while UV inhibitors make it extra durable for outdoor use. A large 75-gallon sump capacity eliminates the risk of spills or leaks. Structural foam grates also remove for easy cleaning. What’s more, molded-in vents reduce fumes and condensation inside, while heavy-duty hinges and lock keep contents secure. The Job Hut offers substantial savings when compared to similar metal or concrete storage buildings, while providing superior performance. The optional ramp facilitates loading your drums into the unit. Safe, secure, and cost-effective.

Shown with optional Multi-Purpose Work Ramp (Part #: 5111-BK) and user installed tie-downs.",480.2/217.8,8000/3629,"EPA 40 CFR 264.175, SPCC, NPDES, UFC",72/272.5,,,,Cube,5111-BK,3004-YE
4062-YE,2-Drum Hardcover & Spillpallet,4062-YE,Spill Pallets,2-Drum Hardcover & Spillpallet,"Ideal for indoor/outdoor storage of up to two (2) 55-gallon drums. Roll-top design allows for use in limited space or next to buildings where swing-open doors could be a problem. Top or front/rear loadable with removable grates for easy cleaning. Lockable door! Used in conjunction with Poly-Spillpallet™ 2000 (Part #: 5253-YE). Shipped knocked down only, assembly required.

Shown with optional Poly-Ramp (Part #: 5039-BK) and Ramp Extender (Part #: 5038-BK).

Optional Drain available.",210/95,2000/ 907.2,"EPA 40 CFR 264.175, SPCC, NPDES, UFC",58/219.6,,,,Cube,4062-YE-D,5039-BK,5038-BK
4064-YE,4-Drum Hardcover & Spillpallet,4064-YE,Spill Pallets,4-Drum Hardcover & Spillpallet,"A sturdy solution to indoor/outdoor storage of up to four (4) 55-gallon drums. Roll-top design allows it to be used in limited space or next to buildings where swing-open doors could be a problem. Takes up less than 25 square feet of floor space. Allows ample room for drum pumps. Used in conjunction with Poly-Slim-Line™ 6000 (Part #: 5400-YE). Weatherproof and Lockable Door!  Optional drain and ramp. Removable grates for easy cleaning. Some assembly required.  

Shown with optional ramp",269/122,6000/2721.6,"EPA 40 CFR 264.175, SPCC, NPDES, UFC",66/249.8,,,,Cube,4064-YE-D,5039-BK,4062-YE
4701-YE,Drip Sentinel™ Hose Bibb™,4701-YE,Sorbents,Drip Sentinel™ Hose Bibb™,"Safely wrap quick-disconnect fittings or other hose attachment ends to absorb small leaks, when disconnecting hoses from industrial equipment. Integrated internal sorbent allows for containment up to 1 pint of Oil, Hydraulic, or other Hydrocarbons. Tether closure system holds the unit around the hose and fitting, unit made of rugged and chemically resistant material. Lightweight and made in high visibility yellow color.",,1pt/473ML,"EPA, SPCC, NPDES",,,,,Sorbents,4702-YE,4730-BK,4704-YE
4701-YE-BX,Drip Sentinel™ Hose Bibb™,4701-YE-BX,Sorbents,Drip Sentinel™ Hose Bibb™,"Safely wrap quick-disconnect fittings or other hose attachment ends to absorb small leaks, when disconnecting hoses from industrial equipment. Integrated internal sorbent allows for containment up to 1 pint of Oil, Hydraulic, or other Hydrocarbons. Tether closure system holds the unit around the hose and fitting, unit made of rugged and chemically resistant material. Lightweight and made in high visibility yellow color.",,1pt/473ML,"EPA, SPCC, NPDES",,,,,Sorbents,4735-YE,4730-BK,4704-YE
4702-YE,Drip Sentinel™ Hose Wraps,4702-YE,Sorbents,Drip Sentinel™ Hose Wraps,"Does your industrial hose or fitting have a leak? Contain it andprevent costly leaks and spills that can cause injuries to your workers, with ENPAC’s Hose Wrap.  Made of rugged and chemicallyresistant material and an integrated sorbent pad. Hose Wrap will absorb leaks from hoses and fittings from 2” to 10” in size.  Four sizes to fit most applications, integrated sorbent pad absorbs hydrocarbons.

Pads are integrated and replaceable.",.5/.2,,"EPA, SPCC, NPDES",,,,,Adjustables,4701-YE,4730-BK,4704-YE
4704-YE,Drip Sentinel™ Hose Wraps,4704-YE,Sorbents,Drip Sentinel™ Hose Wraps,"Does your industrial hose or fitting have a leak? Contain it andprevent costly leaks and spills that can cause injuries to your workers, with ENPAC’s Hose Wrap.  Made of rugged and chemicallyresistant material and an integrated sorbent pad. Hose Wrap will absorb leaks from hoses and fittings from 2” to 10” in size.  Four sizes to fit most applications, integrated sorbent pad absorbs hydrocarbons.

Pads are integrated and replaceable.",.7/.3,,"EPA, SPCC, NPDES",,,,,Adjustables,4701-YE,4730-BK,4704-YE
4706-YE,Drip Sentinel™ Hose Wraps,4706-YE,Sorbents,Drip Sentinel™ Hose Wraps,"Does your industrial hose or fitting have a leak? Contain it andprevent costly leaks and spills that can cause injuries to your workers, with ENPAC’s Hose Wrap.  Made of rugged and chemicallyresistant material and an integrated sorbent pad. Hose Wrap will absorb leaks from hoses and fittings from 2” to 10” in size.  Four sizes to fit most applications, integrated sorbent pad absorbs hydrocarbons.

Pads are integrated and replaceable.",1/.5,,"EPA, SPCC, NPDES",,,,,Adjustables,4701-YE,4730-BK,4704-YE
4710-YE,Drip Sentinel™ Hose Wraps,4710-YE,Sorbents,Drip Sentinel™ Hose Wraps,"Does your industrial hose or fitting have a leak? Contain it andprevent costly leaks and spills that can cause injuries to your workers, with ENPAC’s Hose Wrap.  Made of rugged and chemicallyresistant material and an integrated sorbent pad. Hose Wrap will absorb leaks from hoses and fittings from 2” to 10” in size.  Four sizes to fit most applications, integrated sorbent pad absorbs hydrocarbons.

Pads are integrated and replaceable.",1.1/.5,,"EPA, SPCC, NPDES",,,,,Adjustables,4701-YE,4730-BK,4704-YE
4720-BK,Drip Sentinel™ Maintenance Blankets,4720-BK,Sorbents,Drip Sentinel™ Maintenance Blankets,"The ENPAC Maintenance Blanket is designed to be utilized under vehicles orleaking equipment. The blanket is made of 8 oz. non-woven geo-textile that is 100 mils thick, backed by 1 layer of 20-milfuel/chemical resistant polyethylene.  The blanket provides a protective sorbent pad between the maintenance item and placement area. The fabric backing provides an extra barrier that unless punctured, stops any hydrocarbon from getting to ground. The blanket canbe rolled or folded into a compact lightweight unit. It is an inexpensive alternative to heavier, more costly fabric mats. Custom Sizes Available.",6/2.7,,"EPA, SPCC, NPDES",,,,,Sorbents,4701-YE,4730-BK,4704-YE
4725-BK,Drip Sentinel™ Maintenance Blankets,4725-BK,Sorbents,Drip Sentinel™ Maintenance Blankets,"The ENPAC Maintenance Blanket is designed to be utilized under vehicles orleaking equipment. The blanket is made of 8 oz. non-woven geo-textile that is 100 mils thick, backed by 1 layer of 20-milfuel/chemical resistant polyethylene.  The blanket provides a protective sorbent pad between the maintenance item and placement area. The fabric backing provides an extra barrier that unless punctured, stops any hydrocarbon from getting to ground. The blanket canbe rolled or folded into a compact lightweight unit. It is an inexpensive alternative to heavier, more costly fabric mats. Custom Sizes Available.",7/3.1,,"EPA, SPCC, NPDES",,,,,Sorbents,4701-YE,4730-BK,4704-YE
4730-BK,Drip Sentinel™ Maintenance Blankets,4730-BK,Sorbents,Drip Sentinel™ Maintenance Blankets,"The ENPAC Maintenance Blanket is designed to be utilized under vehicles orleaking equipment. The blanket is made of 8 oz. non-woven geo-textile that is 100 mils thick, backed by 1 layer of 20-milfuel/chemical resistant polyethylene.  The blanket provides a protective sorbent pad between the maintenance item and placement area. The fabric backing provides an extra barrier that unless punctured, stops any hydrocarbon from getting to ground. The blanket canbe rolled or folded into a compact lightweight unit. It is an inexpensive alternative to heavier, more costly fabric mats. Custom Sizes Available.",9/4,,"EPA, SPCC, NPDES",,,,,Sorbents,4701-YE,4730-BK,4704-YE
